label,VV_mean.17,Inc_mean.17,NDVI_median.17
142,0.1267,32.581,71.6692
691,0.1527,32.581,75.3733
1438,0.1679,32.581,76.548
725,0.1214,32.581,68.194
336,0.1384,32.581,71.7934
1858,0.1372,32.581,66.3503999999999
3319,0.1522,32.581,74.4061999999999
5400,0.1511,32.581,70.3361
4973,0.1742,32.581,71.11289999999991
3668,0.1502,32.581,57.3879
4778,0.1496,32.581,57.5135999999999
3683,0.1659,32.581,74.4484
5062,0.1647,32.581,38.432
7418,0.1537,32.581,64.2105999999999
2980,0.1312,32.581,48.6903999999999
7006,0.1551,32.581,57.1719999999999
6359,0.1369,32.581,67.1526
6118,0.178,32.581,61.131
7274,0.1827,32.581,76.5228
9219,0.1293,32.581,72.8536
6836,0.1988,32.581,52.0942999999999
6877,0.2037,32.581,72.7995999999999
6985,0.1485,32.581,58.0343999999999
6094,0.1864,32.581,49.8335999999999
5603,0.1516,32.581,74.04559999999991
8268,0.1581,32.581,71.8857
8766,0.1495,32.581,71.1704
8996,0.1206,32.581,56.4482
7563,0.1871,32.581,42.7794
9052,0.1582,32.581,63.6522999999999
8927,0.1705,32.581,40.9742
8713,0.1547,32.581,42.530299999999905
9961,0.1422,32.581,60.4405
10023,0.1382,32.581,57.8108999999999
11142,0.1283,32.581,69.4262999999999
8940,0.1477,32.581,30.6319
9315,0.1457,32.581,39.5985
9287,0.169,32.581,32.0762
9733,0.2197,32.581,60.9758
11215,0.1397,32.581,54.99739999999989
11651,0.2109,32.581,70.9842
12264,0.1425,32.581,72.7520999999999
11359,0.144,32.581,29.6419999999999
12657,0.1686,32.581,42.8586
8972,0.1807,32.581,65.8123999999999
11578,0.1274,32.581,30.8786999999999
11056,0.163,32.581,48.91799999999989
13435,0.1542,32.581,21.7014999999999
11970,0.165,32.581,45.3562
12463,0.1745,32.581,59.0484999999999
15598,0.1604,32.581,22.0262999999999
13984,0.2027,32.581,36.621899999999904
14600,0.1311,32.581,50.1938
14398,0.1515,32.581,34.2060999999999
14510,0.1481,32.581,39.441699999999905
13956,0.1346,32.581,54.253
13470,0.1439,32.581,38.030999999999906
16123,0.1468,32.581,60.2899
14364,0.1552,32.581,31.9105999999999
15258,0.178,32.581,30.2241
18653,0.1646,32.581,65.8520999999999
17449,0.1526,32.581,60.9707
16930,0.1564,32.581,32.4996
18446,0.1358,32.581,45.0073
18042,0.1455,32.581,23.0418999999999
16346,0.1693,32.581,25.3088
18179,0.1345,32.581,51.41949999999989
16140,0.1543,32.581,29.44
19191,0.1517,32.581,61.7552
20268,0.1371,32.581,34.4296999999999
19586,0.1476,32.581,50.9221999999999
19694,0.1633,32.581,49.558
20669,0.1424,32.581,28.2561
20534,0.1929,32.581,51.5998
18269,0.1463,32.581,56.9418999999999
18780,0.1621,32.581,31.5444
22162,0.1231,32.581,33.1619
22571,0.1643,32.581,63.1304999999999
22552,0.116,32.581,41.2092
19560,0.1356,32.581,45.542
19790,0.1817,32.581,60.0099
23715,0.1615,32.581,72.0969
23346,0.1927,32.581,38.6734
24074,0.1219,32.581,53.3665
24244,0.1449,32.581,37.6891
26307,0.1587,32.581,43.329099999999904
25012,0.1307,32.581,51.3106
27465,0.1235,32.581,45.5653
28571,0.1383,32.581,41.003999999999905
