label,VV_mean.16,Inc_mean.16,NDVI_median.16
142,0.0731,32.5803,36.241799999999905
691,0.1109,32.5803,42.9031
1438,0.1252,32.5803,39.9549
725,0.0725,32.5803,30.8348
336,0.0927,32.5803,35.1831999999999
1858,0.078,32.5803,33.1270999999999
3319,0.1033,32.5803,39.1873
5400,0.0845,32.5803,40.665799999999905
4973,0.1032,32.5803,38.690399999999904
3668,0.0967,32.5803,34.2447
4778,0.0815,32.5803,29.4316
3683,0.1179,32.5803,39.6552
5062,0.0758,32.5803,28.0736999999999
7418,0.0973,32.5803,32.1394
2980,0.0638,32.5803,27.7298
7006,0.0856,32.5803,32.7423
6359,0.0674,32.5803,32.7310999999999
6118,0.1127,32.5803,38.3397
7274,0.117,32.5803,45.45909999999989
9219,0.0807,32.5803,34.3746999999999
6836,0.0881,32.5803,31.3074
6877,0.1311,32.5803,47.2593
6985,0.0921,32.5803,32.2944999999999
6094,0.0877,32.5803,28.151
5603,0.0832,32.5803,39.846899999999906
8268,0.1164,32.5803,37.6556
8766,0.1133,32.5803,42.52009999999991
8996,0.0827,32.5803,36.465
7563,0.1031,32.5803,32.8293
9052,0.0882,32.5803,35.4782
8927,0.0749,32.5803,28.7537999999999
8713,0.0899,32.5803,33.6982
9961,0.0865,32.5803,43.5337
10023,0.0972,32.5803,37.2254
11142,0.0788,32.5803,35.0855
8940,0.0773,32.5803,25.9726
9315,0.0771,32.5803,29.2458999999999
9287,0.0728,32.5803,29.3847999999999
9733,0.103,32.5803,25.4135999999999
11215,0.0873,32.5803,32.5977999999999
11651,0.1396,32.5803,41.072
12264,0.0868,32.5803,40.436599999999906
11359,0.0628,32.5803,28.888
12657,0.0761,32.5803,31.0885
8972,0.1098,32.5803,33.3601
11578,0.0774,32.5803,24.9507
11056,0.0846,32.5803,28.6549
13435,0.0667,32.5803,27.6495
11970,0.0867,32.5803,30.256
12463,0.0764,32.5803,32.3513999999999
15598,0.0711,32.5803,28.7281
13984,0.075,32.5803,27.2578
14600,0.0769,32.5803,29.5093999999999
14398,0.0927,32.5803,27.8657
14510,0.0717,32.5803,30.8395
13956,0.0712,32.5803,32.1910999999999
13470,0.0742,32.5803,28.4221
16123,0.0869,32.5803,36.3845
14364,0.0699,32.5803,28.6907999999999
15258,0.0676,32.5803,27.1088999999999
18653,0.0922,32.5803,33.6081999999999
17449,0.086,32.5803,30.9721
16930,0.0652,32.5803,24.1997
18446,0.0843,32.5803,24.2454
18042,0.0769,32.5803,26.7608
16346,0.0724,32.5803,26.0824
18179,0.0775,32.5803,31.6953999999999
16140,0.074,32.5803,30.0171999999999
19191,0.0905,32.5803,31.1561999999999
20268,0.0951,32.5803,28.6685
19586,0.0848,32.5803,19.5162
19694,0.0882,32.5803,32.6501999999999
20669,0.0674,32.5803,32.0063
20534,0.0927,32.5803,17.8581
18269,0.092,32.5803,27.352
18780,0.0782,32.5803,29.3952999999999
22162,0.0694,32.5803,29.2306999999999
22571,0.0992,32.5803,33.4352
22552,0.0742,32.5803,27.8602999999999
19560,0.0726,32.5803,30.3113999999999
19790,0.0772,32.5803,32.6942
23715,0.1267,32.5803,39.963999999999906
23346,0.0743,32.5803,19.8309
24074,0.0871,32.5803,31.8645999999999
24244,0.0787,32.5803,27.5659999999999
26307,0.0778,32.5803,26.9025
25012,0.0722,32.5803,31.0725
27465,0.0812,32.5803,30.7694
28571,0.0904,32.5803,27.6103999999999
