,label,nbPixels,meanB0,varB0,mean__012019,nan___012019,mean_div_std,mean__022019,nan___022019,mean_div_std,mean__032019,nan___032019,mean_div_std,mean__042019,nan___042019,mean_div_std,mean__052019,nan___052019,mean_div_std,mean__062019,nan___062019,mean_div_std,mean__072019,nan___072019,mean_div_std,mean__082019,nan___082019,mean_div_std,mean__092019,nan___092019,mean_div_std,mean__102019,nan___102019,mean_div_std,mean__112019,nan___112019,mean_div_std,mean__122019,nan___122019,mean_div_std,mean__012020,nan___012020,mean_div_std,mean__022020,nan___022020,mean_div_std,mean__032020,nan___032020,mean_div_std,mean__042020,nan___042020,mean_div_std,mean__052020,nan___052020,mean_div_std,mean__062020,nan___062020,mean_div_std,mean__072020,nan___072020,mean_div_std,mean__082020,nan___082020,mean_div_std,mean__092020,nan___092020,mean_div_std,mean__102020,nan___102020,mean_div_std,mean__112020,nan___112020,mean_div_std,mean__122020,nan___122020,mean_div_std,mean__012021,nan___012021,mean_div_std,mean__022021,nan___022021,mean_div_std,mean__032021,nan___032021,mean_div_std,mean__042021,nan___042021,mean_div_std,mean__052021,nan___052021,mean_div_std,mean__062021,nan___062021,mean_div_std,mean__072021,nan___072021,mean_div_std,mean__082021,nan___082021,mean_div_std,mean__092021,nan___092021,mean_div_std,mean__102021,nan___102021,mean_div_std,mean__112021,nan___112021,mean_div_std,mean__122021,nan___122021,mean_div_std,mean__012022,nan___012022,mean_div_std,mean__022022,nan___022022,mean_div_std,mean__032022,nan___032022,mean_div_std
10,4778,158,0.272913962602615,0.000890312658157,0.0569,0,2.9421,0.0514,0,2.5529,0.0587,0,2.9821,0.0686,0,4.1682,0.1255,0,2.3324,0.1511,0,4.4015,0.2785,0,3.0482,0.213,0,3.1931,0.173,0,3.0211,0.194,0,3.3908,0.1474,0,3.3072,0.1092,0,4.0083,0.0668,0,3.5913,0.058,0,2.454,0.0643,0,2.6117,0.0739,0,2.832,0.0815,0,3.3129,0.1496,0,2.9013,0.2139,0,3.7499,0.1628,0,3.4245,0.1607,0,5.0153,0.1488,0,4.0682,0.0961,0,4.3846,0.0761,0,3.3243,0.0618,0,3.7653,0.0579,0,2.9482,0.0855,0,3.1258,0.0622,0,3.2319,0.1098,0,4.1185,0.1032,0,3.7598,0.1049,0,3.4923,0.16,0,3.8499,0.2275,0,3.7412,0.1511,0,3.6866,0.102,0,2.6367,0.0709,0,3.1218,0.0675,0,2.9495,0.0592,0,3.9045,0.0618,0,2.811
11,3683,280,0.33478057384491,0.001002615899779,0.0851,0,2.6721,0.075,0,2.7642,0.0817,0,2.6169,0.09,0,2.7193,0.1612,0,2.1201,0.1837,0,3.2568,0.187,0,2.4872,0.2058,0,3.2222,0.1774,0,2.8934,0.1936,0,3.1415,0.1784,0,2.5669,0.1256,0,2.9592,0.0985,0,3.2453,0.0886,0,2.5163,0.1002,0,2.9224,0.1107,0,1.9806,0.1179,0,2.7178,0.1659,0,2.2549,0.1989,0,2.9529,0.1795,0,2.8889,0.1832,0,2.9187,0.1775,0,3.0256,0.1348,0,2.9252,0.1038,0,2.6401,0.0817,0,3.0693,0.0777,0,2.5344,0.109,0,2.9286,0.1049,0,2.1956,0.149,0,2.2448,0.1524,0,3.2902,0.1279,0,2.08,0.1662,0,3.4528,0.2201,0,3.221,0.1585,0,3.7371,0.1328,0,3.0088,0.1035,0,3.2305,0.0799,0,2.6567,0.0749,0,3.1166,0.0856,0,2.5346
12,5062,172,0.243928015232086,0.000810695695691,0.0501,0,1.8239,0.0484,0,1.5446,0.0577,0,1.166,0.0637,0,1.0589,0.1135,0,1.5368,0.1594,0,2.3223,0.1686,0,2.7938,0.1494,0,2.767,0.1567,0,3.2006,0.1427,0,4.3916,0.1296,0,2.8976,0.0785,0,2.1315,0.0605,0,1.3039,0.0571,0,1.092,0.0679,0,0.8958,0.0625,0,1.4621,0.0758,0,1.6267,0.1647,0,2.5443,0.1843,0,3.224,0.176,0,2.0462,0.1534,0,1.9532,0.1389,0,2.0627,0.078,0,2.458,0.0573,0,1.764,0.0616,0,2.075,0.0572,0,1.8441,0.0867,0,2.0092,0.0752,0,2.144,0.1148,0,2.6278,0.14,0,2.2931,0.1025,0,2.0821,0.1672,0,1.6449,0.1942,0,2.2322,0.1259,0,2.7204,0.0826,0,2.8324,0.0655,0,2.0152,0.0668,0,1.4747,0.063,0,1.7844,0.0709,0,1.2032
13,7418,181,0.290531784296036,0.000361140555469,0.071,0,3.4912,0.0674,0,3.1089,0.0645,0,3.5129,0.0862,0,3.9716,0.128,0,2.4188,0.1408,0,4.2729,0.2189,0,2.6825,0.1663,0,3.5396,0.1582,0,2.5838,0.1808,0,3.5045,0.1395,0,3.3651,0.108,0,3.7113,0.0788,0,3.8244,0.0778,0,2.6336,0.0686,0,4.1507,0.0773,0,3.0602,0.0973,0,4.7593,0.1537,0,3.2397,0.1718,0,4.0098,0.1237,0,3.1251,0.1501,0,3.9242,0.1494,0,3.6178,0.1078,0,3.9434,0.0819,0,2.806,0.0691,0,2.9388,0.0586,0,2.5465,0.0696,0,3.6804,0.0665,0,2.6273,0.1088,0,4.2732,0.1031,0,3.4077,0.0866,0,2.9423,0.1396,0,3.374,0.1848,0,3.8829,0.14,0,4.0231,0.1052,0,2.9365,0.0643,0,4.1568,0.0594,0,3.4888,0.0613,0,3.1948,0.0651,0,2.3634
14,2980,346,0.245385780930519,0.000313374621328,0.0491,0,2.7735,0.0456,0,2.2098,0.0458,0,2.1295,0.0532,0,2.2774,0.0881,0,2.1251,0.1318,0,3.3021,0.1522,0,3.2976,0.1465,0,3.9719,0.1362,0,3.4185,0.1425,0,3.8957,0.1391,0,2.6921,0.0807,0,3.1415,0.0533,0,2.15,0.0506,0,1.9458,0.0492,0,1.4629,0.0472,0,2.1601,0.0638,0,2.6976,0.1312,0,2.5085,0.1658,0,3.6857,0.1596,0,2.5989,0.14,0,2.8186,0.1533,0,2.4528,0.081,0,3.3285,0.0561,0,2.2638,0.0497,0,2.179,0.0461,0,2.084,0.0697,0,2.3636,0.0538,0,2.5959,0.0981,0,2.0592,0.103,0,2.4878,0.0802,0,1.9242,0.1446,0,1.6181,0.1727,0,1.7086,0.1317,0,2.8913,0.092,0,2.5255,0.0559,0,2.0139,0.0464,0,1.8466,0.0424,0,1.8192,0.0414,0,1.5881
15,7006,207,0.244445875287056,0.000778675079346,0.0595,0,1.9051,0.0597,0,2.2441,0.0604,0,2.6482,0.0798,0,3.0691,0.1403,0,2.1915,0.1431,0,4.1316,0.1869,0,2.6921,0.1596,0,4.1978,0.1376,0,3.1616,0.1239,0,3.434,0.1093,0,3.7728,0.0831,0,3.1743,0.0583,0,1.6035,0.0603,0,1.5194,0.0664,0,2.0062,0.0719,0,2.5721,0.0856,0,4.4546,0.1551,0,2.4556,0.1691,0,2.4713,0.1243,0,2.7588,0.1305,0,2.7496,0.1183,0,2.6027,0.0772,0,3.726,0.055,0,2.5062,0.0466,0,2.3765,0.0441,0,2.1641,0.0607,0,3.0578,0.0512,0,2.3374,0.1042,0,2.4659,0.1109,0,2.9396,0.0932,0,3.0988,0.1303,0,3.5754,0.167,0,3.7835,0.1353,0,3.2393,0.09,0,3.1082,0.0571,0,2.9765,0.0488,0,2.7665,0.0451,0,2.5763,0.044,0,2.4624
16,6359,113,0.291055351495743,0.000510931015015,0.0552,0,3.1818,0.0504,0,2.1106,0.0529,0,3.3801,0.0601,0,2.9592,0.09,0,2.6357,0.1359,0,4.0898,0.1565,0,3.2325,0.1571,0,4.2044,0.1579,0,3.6435,0.1547,0,4.6154,0.1218,0,3.4754,0.0792,0,3.8748,0.0609,0,2.6844,0.0582,0,2.1083,0.059,0,3.0717,0.0702,0,2.5928,0.0674,0,3.5581,0.1369,0,2.8085,0.1438,0,3.8259,0.1368,0,3.0015,0.1482,0,3.8012,0.148,0,3.5506,0.1043,0,3.996,0.0534,0,3.2763,0.0625,0,2.5439,0.0585,0,2.4823,0.064,0,4.5996,0.0674,0,3.4036,0.0923,0,3.3478,0.0906,0,3.4615,0.0869,0,2.7465,0.1152,0,3.5683,0.1378,0,3.6309,0.1214,0,3.8056,0.085,0,2.5087,0.0526,0,3.7242,0.0439,0,2.9402,0.0424,0,3.3296,0.0412,0,3.6553
17,6118,173,0.320237785577774,0.000734307046514,0.0787,0,3.899,0.0795,0,2.5566,0.0762,0,3.0867,0.0953,0,3.8986,0.1283,0,2.4692,0.1619,0,3.641,0.1996,0,3.023,0.187,0,4.1507,0.1864,0,3.4345,0.1851,0,4.1294,0.1527,0,3.4834,0.1205,0,3.0787,0.0965,0,3.3433,0.0883,0,2.7792,0.0911,0,3.1435,0.0905,0,3.395,0.1127,0,2.4411,0.178,0,2.6572,0.1934,0,4.4267,0.1435,0,3.0423,0.1602,0,2.8276,0.1774,0,3.2939,0.1041,0,4.1274,0.0937,0,3.0869,0.077,0,3.5786,0.0695,0,2.9248,0.0921,0,3.1676,0.08,0,3.0542,0.1237,0,3.0943,0.1209,0,3.6668,0.1047,0,3.2745,0.1417,0,3.6208,0.1978,0,3.0651,0.1447,0,3.2506,0.1186,0,3.4706,0.0918,0,3.2555,0.0834,0,2.627,0.0658,0,3.0878,0.0684,0,2.7911
18,7274,198,0.387041389942169,0.001026560203172,0.0775,0,2.7251,0.0884,0,2.6822,0.0951,0,2.9557,0.0914,0,3.477,0.129,0,2.8799,0.1789,0,3.662,0.2017,0,3.7256,0.1998,0,3.8178,0.1884,0,3.0586,0.1769,0,3.0838,0.1686,0,3.2966,0.1289,0,3.7058,0.0969,0,3.4108,0.0886,0,2.6138,0.1103,0,2.6607,0.1067,0,2.7304,0.117,0,3.7075,0.1827,0,2.8036,0.2011,0,4.2215,0.1743,0,3.0162,0.1937,0,2.9679,0.2056,0,3.0346,0.1544,0,3.2281,0.1074,0,3.005,0.0892,0,3.3821,0.0823,0,2.6055,0.1001,0,3.7657,0.1132,0,2.7631,0.1504,0,3.1904,0.1488,0,2.7875,0.1442,0,2.9307,0.1753,0,3.7275,0.2175,0,3.7962,0.1684,0,4.1812,0.1348,0,2.8889,0.0938,0,3.6704,0.0927,0,2.5904,0.076,0,2.7088,0.1011,0,3.2956
19,9219,135,0.287960797548294,0.001451734337024,0.0574,0,2.6085,0.0582,0,2.8771,0.0626,0,2.3211,0.0709,0,2.7909,0.1057,0,2.4187,0.1336,0,3.4939,0.1592,0,3.705,0.1659,0,4.481,0.1395,0,3.0076,0.1687,0,3.3382,0.1111,0,3.4896,0.0857,0,3.0425,0.0652,0,2.5243,0.0605,0,1.8565,0.064,0,2.4329,0.0649,0,1.7393,0.0807,0,2.9589,0.1293,0,3.1392,0.1679,0,3.3348,0.1172,0,2.5472,0.1434,0,3.3105,0.1402,0,2.8291,0.092,0,3.5621,0.0553,0,2.3114,0.0516,0,2.8232,0.0521,0,2.4923,0.0658,0,2.0978,0.0618,0,2.0269,0.0981,0,4.6732,0.1084,0,3.5181,0.0985,0,2.9029,0.156,0,3.4944,0.1872,0,3.64,0.137,0,3.3829,0.1074,0,3.3039,0.062,0,2.7333,0.0559,0,2.1016,0.0585,0,2.0517,0.0604,0,1.9517
