label,Estimation
142,21.90
691,27.03
1438,27.05
725,19.06
336,24.79
1858,19.88
3319,25.69
5400,23.92
4973,24.94
3668,22.38
4778,20.95
3683,26.90
5062,24.48
7418,20.46
2980,20.26
7006,21.57
6359,19.22
6118,23.40
7274,26.73
9219,22.34
6836,21.71
6877,26.74
6985,22.07
6094,19.25
5603,22.16
8268,26.41
8766,25.74
8996,20.57
7563,21.07
9052,22.08
8927,17.48
8713,21.63
9961,23.06
10023,23.58
11142,21.37
8940,16.16
9315,21.22
9287,20.28
9733,26.67
11215,24.95
11651,27.67
12264,23.24
11359,18.55
12657,20.55
8972,26.21
11578,21.36
11056,24.88
13435,22.43
11970,26.13
12463,24.96
15598,22.59
13984,25.31
14600,24.15
14398,21.30
14510,21.61
13956,21.41
13470,23.20
16123,23.62
14364,20.33
15258,22.68
18653,26.23
17449,25.28
16930,20.45
18446,21.11
18042,17.97
16346,18.84
18179,20.79
16140,21.14
19191,26.61
20268,23.13
19586,22.41
19694,24.03
20669,17.73
20534,21.47
18269,23.99
18780,20.62
22162,20.33
22571,25.03
22552,20.09
19560,21.89
19790,24.28
23715,26.67
23346,21.26
24074,22.37
24244,21.84
26307,22.17
25012,20.29
27465,22.35
28571,22.93
