label,Estimation
142,18.37
691,25.26
1438,25.57
725,18.82
336,21.93
1858,18.38
3319,24.41
5400,23.14
4973,25.54
3668,20.90
4778,21.69
3683,24.31
5062,15.28
7418,21.61
2980,15.95
7006,16.32
6359,15.86
6118,23.50
7274,24.95
9219,17.03
6836,17.41
6877,24.13
6985,13.77
6094,18.48
5603,20.98
8268,23.11
8766,23.94
8996,20.10
7563,12.76
9052,16.93
8927,19.72
8713,16.89
9961,17.84
10023,19.05
11142,13.49
8940,16.86
9315,18.00
9287,16.38
9733,20.61
11215,20.32
11651,26.87
12264,18.78
11359,14.07
12657,15.56
8972,21.24
11578,15.21
11056,19.64
13435,11.07
11970,17.48
12463,17.14
15598,12.94
13984,10.58
14600,16.13
14398,18.81
14510,17.70
13956,12.10
13470,14.85
16123,17.65
14364,12.22
15258,11.69
18653,22.77
17449,15.77
16930,15.22
18446,16.56
18042,13.68
16346,13.80
18179,11.96
16140,12.97
19191,20.70
20268,14.16
19586,11.88
19694,14.83
20669,11.88
20534,12.10
18269,17.60
18780,9.55
22162,13.24
22571,22.17
22552,18.47
19560,21.23
19790,15.27
23715,26.16
23346,12.73
24074,22.68
24244,15.29
26307,16.58
25012,19.78
27465,17.40
28571,16.90
