label,Estimation
142,nan
691,nan
1438,nan
725,nan
336,nan
1858,nan
3319,nan
5400,nan
4973,nan
3668,nan
4778,nan
3683,nan
5062,nan
7418,nan
2980,nan
7006,nan
6359,nan
6118,nan
7274,nan
9219,26.38
6836,nan
6877,nan
6985,24.70
6094,nan
5603,nan
8268,nan
8766,nan
8996,nan
7563,26.32
9052,27.55
8927,nan
8713,nan
9961,nan
10023,nan
11142,nan
8940,nan
9315,nan
9287,nan
9733,nan
11215,nan
11651,nan
12264,nan
11359,nan
12657,nan
8972,nan
11578,nan
11056,nan
13435,nan
11970,nan
12463,nan
15598,nan
13984,nan
14600,nan
14398,nan
14510,nan
13956,nan
13470,nan
16123,27.64
14364,nan
15258,nan
18653,nan
17449,27.39
16930,nan
18446,nan
18042,nan
16346,nan
18179,nan
16140,nan
19191,nan
20268,nan
19586,nan
19694,23.78
20669,nan
20534,nan
18269,nan
18780,nan
22162,nan
22571,nan
22552,nan
19560,nan
19790,nan
23715,27.69
23346,nan
24074,nan
24244,nan
26307,nan
25012,nan
27465,nan
28571,nan
