label,Estimation
142,6.40
691,10.03
1438,17.88
725,6.19
336,8.43
1858,6.84
3319,13.84
5400,8.41
4973,8.79
3668,8.94
4778,7.84
3683,11.38
5062,8.34
7418,8.18
2980,5.31
7006,5.76
6359,5.35
6118,9.30
7274,11.89
9219,7.69
6836,5.97
6877,18.76
6985,5.38
6094,6.00
5603,7.57
8268,10.39
8766,13.05
8996,5.85
7563,4.00
9052,6.27
8927,4.75
8713,5.40
9961,5.37
10023,7.10
11142,7.11
8940,4.26
9315,6.36
9287,4.89
9733,8.18
11215,9.16
11651,16.83
12264,11.43
11359,3.91
12657,4.98
8972,9.14
11578,5.67
11056,6.98
13435,3.91
11970,8.88
12463,6.48
15598,3.78
13984,3.98
14600,8.18
14398,6.88
14510,6.62
13956,6.03
13470,5.61
16123,8.00
14364,5.22
15258,4.70
18653,6.92
17449,7.30
16930,6.40
18446,8.13
18042,4.65
16346,4.71
18179,6.92
16140,5.13
19191,8.45
20268,6.15
19586,5.62
19694,7.09
20669,6.26
20534,6.31
18269,6.00
18780,4.84
22162,5.62
22571,8.64
22552,6.74
19560,8.42
19790,6.81
23715,17.23
23346,5.08
24074,9.64
24244,5.92
26307,5.39
25012,7.02
27465,6.46
28571,5.56
