label,Estimation
142,27.32
691,27.68
1438,27.64
725,24.75
336,27.14
1858,24.58
3319,27.38
5400,nan
4973,27.76
3668,26.98
4778,26.54
3683,27.76
5062,nan
7418,25.53
2980,25.09
7006,23.64
6359,nan
6118,27.01
7274,nan
9219,nan
6836,22.69
6877,27.59
6985,20.49
6094,23.43
5603,nan
8268,nan
8766,nan
8996,nan
7563,14.69
9052,21.34
8927,21.21
8713,20.57
9961,nan
10023,nan
11142,nan
8940,19.96
9315,nan
9287,18.94
9733,nan
11215,nan
11651,nan
12264,nan
11359,17.38
12657,nan
8972,nan
11578,nan
11056,nan
13435,nan
11970,nan
12463,nan
15598,nan
13984,nan
14600,nan
14398,nan
14510,nan
13956,nan
13470,nan
16123,nan
14364,nan
15258,nan
18653,nan
17449,nan
16930,nan
18446,nan
18042,nan
16346,nan
18179,nan
16140,nan
19191,nan
20268,nan
19586,22.70
19694,nan
20669,nan
20534,19.69
18269,25.49
18780,nan
22162,nan
22571,nan
22552,nan
19560,nan
19790,20.91
23715,nan
23346,nan
24074,nan
24244,nan
26307,nan
25012,nan
27465,nan
28571,nan
