label,Estimation
142,27.10
691,27.81
1438,27.79
725,26.89
336,27.62
1858,27.43
3319,27.64
5400,27.39
4973,27.78
3668,27.59
4778,27.86
3683,27.75
5062,26.00
7418,27.66
2980,25.88
7006,24.13
6359,26.97
6118,27.81
7274,27.58
9219,27.45
6836,26.41
6877,27.67
6985,27.01
6094,27.61
5603,26.96
8268,27.56
8766,27.57
8996,26.59
7563,26.96
9052,27.41
8927,25.30
8713,24.37
9961,26.01
10023,26.08
11142,25.52
8940,24.33
9315,25.72
9287,23.40
9733,27.57
11215,27.21
11651,28.38
12264,26.93
11359,21.87
12657,24.16
8972,27.69
11578,23.87
11056,26.96
13435,17.35
11970,25.88
12463,25.77
15598,20.31
13984,18.91
14600,27.27
14398,27.15
14510,26.31
13956,25.95
13470,25.08
16123,26.07
14364,20.81
15258,23.06
18653,27.76
17449,26.94
16930,22.25
18446,25.53
18042,20.11
16346,22.01
18179,23.77
16140,24.48
19191,26.53
20268,27.30
19586,26.94
19694,24.73
20669,19.61
20534,24.31
18269,27.28
18780,23.10
22162,21.99
22571,27.76
22552,22.11
19560,26.44
19790,25.93
23715,27.46
23346,23.41
24074,27.39
24244,21.68
26307,23.84
25012,26.27
27465,25.59
28571,22.67
