label,Estimation
142,27.58
691,27.69
1438,27.66
725,26.95
336,27.64
1858,26.12
3319,27.65
5400,27.62
4973,27.65
3668,26.22
4778,27.70
3683,27.76
5062,26.56
7418,26.56
2980,26.16
7006,nan
6359,25.98
6118,27.90
7274,27.78
9219,nan
6836,26.35
6877,28.36
6985,nan
6094,26.43
5603,27.56
8268,27.63
8766,27.71
8996,27.22
7563,nan
9052,23.97
8927,25.82
8713,24.65
9961,26.57
10023,25.39
11142,23.62
8940,23.17
9315,23.96
9287,25.19
9733,28.10
11215,27.81
11651,28.72
12264,27.40
11359,27.46
12657,27.59
8972,27.83
11578,24.37
11056,27.77
13435,23.58
11970,27.84
12463,27.72
15598,21.40
13984,27.44
14600,27.65
14398,23.78
14510,25.04
13956,25.88
13470,24.68
16123,27.88
14364,23.80
15258,24.52
18653,nan
17449,27.51
16930,23.52
18446,24.21
18042,21.03
16346,21.74
18179,26.80
16140,24.26
19191,27.15
20268,26.86
19586,nan
19694,26.44
20669,20.94
20534,nan
18269,26.76
18780,23.61
22162,21.66
22571,23.25
22552,22.66
19560,23.03
19790,nan
23715,nan
23346,nan
24074,23.82
24244,26.29
26307,24.72
25012,22.72
27465,nan
28571,nan
