label,Estimation
142,7.18
691,13.14
1438,20.39
725,6.64
336,10.03
1858,6.96
3319,14.89
5400,11.64
4973,11.50
3668,11.24
4778,10.30
3683,13.58
5062,9.92
7418,8.61
2980,6.23
7006,6.67
6359,5.80
6118,14.26
7274,16.80
9219,7.97
6836,6.15
6877,19.52
6985,6.89
6094,6.98
5603,8.23
8268,14.70
8766,15.27
8996,6.44
7563,5.12
9052,6.80
8927,5.59
8713,6.72
9961,7.45
10023,7.64
11142,7.36
8940,5.60
9315,7.10
9287,5.49
9733,9.84
11215,11.80
11651,19.53
12264,13.43
11359,4.70
12657,5.90
8972,11.58
11578,5.98
11056,8.06
13435,5.08
11970,11.05
12463,7.15
15598,5.11
13984,4.83
14600,10.15
14398,8.19
14510,8.21
13956,7.19
13470,6.58
16123,9.31
14364,4.80
15258,5.47
18653,8.44
17449,8.81
16930,5.91
18446,7.33
18042,4.97
16346,5.26
18179,7.93
16140,5.16
19191,9.27
20268,6.36
19586,6.63
19694,8.14
20669,6.60
20534,6.48
18269,7.33
18780,5.29
22162,4.97
22571,11.38
22552,8.33
19560,10.08
19790,8.18
23715,19.08
23346,5.53
24074,11.65
24244,6.72
26307,6.00
25012,8.59
27465,8.23
28571,6.15
