label,Estimation
142,8.86
691,14.64
1438,19.93
725,7.73
336,12.12
1858,9.52
3319,18.79
5400,14.41
4973,11.71
3668,8.40
4778,8.34
3683,15.30
5062,7.13
7418,11.65
2980,6.84
7006,8.73
6359,8.00
6118,13.63
7274,13.92
9219,8.16
6836,7.66
6877,19.95
6985,7.25
6094,8.57
5603,10.89
8268,14.10
8766,13.17
8996,8.88
7563,7.99
9052,10.94
8927,8.64
8713,8.09
9961,8.62
10023,10.97
11142,7.56
8940,5.56
9315,7.94
9287,7.60
9733,9.21
11215,11.98
11651,21.08
12264,9.90
11359,8.60
12657,8.70
8972,10.78
11578,7.05
11056,9.12
13435,6.89
11970,10.29
12463,8.80
15598,4.63
13984,6.23
14600,9.38
14398,9.62
14510,11.50
13956,8.52
13470,7.93
16123,11.78
14364,6.58
15258,5.92
18653,7.87
17449,8.99
16930,6.26
18446,8.39
18042,5.05
16346,5.01
18179,7.48
16140,6.93
19191,11.88
20268,8.95
19586,7.20
19694,9.60
20669,5.19
20534,10.16
18269,7.53
18780,5.25
22162,4.85
22571,14.29
22552,6.57
19560,10.52
19790,11.99
23715,19.79
23346,11.04
24074,14.23
24244,8.01
26307,7.99
25012,9.16
27465,10.13
28571,10.30
