label,Estimation
142,nan
691,nan
1438,nan
725,nan
336,nan
1858,nan
3319,nan
5400,nan
4973,27.73
3668,27.31
4778,27.62
3683,27.82
5062,nan
7418,26.53
2980,nan
7006,27.07
6359,nan
6118,27.61
7274,nan
9219,26.41
6836,27.83
6877,27.82
6985,25.90
6094,27.87
5603,25.02
8268,nan
8766,27.68
8996,nan
7563,27.32
9052,27.02
8927,26.94
8713,27.35
9961,nan
10023,27.31
11142,25.26
8940,24.95
9315,25.84
9287,26.03
9733,nan
11215,26.03
11651,nan
12264,25.95
11359,24.40
12657,25.67
8972,27.51
11578,24.25
11056,nan
13435,22.84
11970,25.83
12463,26.76
15598,23.23
13984,24.13
14600,nan
14398,21.59
14510,24.77
13956,25.06
13470,22.89
16123,26.82
14364,22.94
15258,22.15
18653,27.92
17449,27.79
16930,20.58
18446,nan
18042,18.15
16346,20.32
18179,23.59
16140,23.26
19191,nan
20268,23.08
19586,nan
19694,24.89
20669,21.64
20534,24.51
18269,24.73
18780,21.21
22162,22.28
22571,26.03
22552,22.80
19560,25.24
19790,27.89
23715,27.02
23346,21.69
24074,27.77
24244,25.99
26307,25.99
25012,26.90
27465,25.87
28571,25.96
