label,Estimation
142,26.13
691,27.50
1438,27.51
725,24.12
336,27.39
1858,26.49
3319,26.89
5400,27.44
4973,27.90
3668,27.46
4778,27.55
3683,27.60
5062,25.55
7418,27.12
2980,23.81
7006,26.05
6359,26.23
6118,27.65
7274,27.66
9219,25.75
6836,27.62
6877,27.92
6985,26.96
6094,27.29
5603,25.99
8268,25.85
8766,27.54
8996,26.64
7563,27.39
9052,27.32
8927,25.68
8713,26.15
9961,22.80
10023,26.94
11142,25.76
8940,24.96
9315,25.18
9287,24.27
9733,27.76
11215,27.05
11651,nan
12264,24.42
11359,20.95
12657,21.07
8972,27.83
11578,24.13
11056,27.24
13435,20.49
11970,26.20
12463,24.54
15598,23.05
13984,18.40
14600,27.52
14398,25.98
14510,24.48
13956,23.23
13470,24.38
16123,26.36
14364,18.04
15258,21.85
18653,27.48
17449,27.52
16930,22.63
18446,22.97
18042,14.21
16346,20.43
18179,25.49
16140,20.97
19191,24.51
20268,27.08
19586,24.59
19694,24.78
20669,16.85
20534,nan
18269,25.56
18780,23.54
22162,17.71
22571,25.59
22552,22.78
19560,24.04
19790,nan
23715,27.00
23346,nan
24074,26.27
24244,23.47
26307,24.51
25012,26.29
27465,22.93
28571,22.53
