label,Estimation
142,10.07
691,18.24
1438,22.20
725,9.57
336,13.35
1858,10.41
3319,19.13
5400,13.63
4973,15.45
3668,11.28
4778,10.48
3683,18.07
5062,9.00
7418,13.44
2980,7.61
7006,8.41
6359,9.33
6118,17.54
7274,18.22
9219,9.88
6836,9.19
6877,21.12
6985,7.25
6094,10.44
5603,12.59
8268,15.85
8766,18.80
8996,10.31
7563,7.49
9052,9.73
8927,7.65
8713,7.72
9961,9.71
10023,16.07
11142,8.24
8940,6.85
9315,8.97
9287,7.53
9733,12.02
11215,14.17
11651,19.84
12264,13.72
11359,6.73
12657,7.77
8972,13.66
11578,7.28
11056,9.62
13435,5.34
11970,9.48
12463,9.12
15598,7.33
13984,6.27
14600,8.79
14398,10.27
14510,12.38
13956,8.91
13470,7.86
16123,10.70
14364,5.92
15258,6.19
18653,10.65
17449,11.64
16930,7.48
18446,10.60
18042,5.13
16346,5.87
18179,8.24
16140,7.55
19191,13.43
20268,8.95
19586,6.97
19694,9.11
20669,6.43
20534,6.81
18269,8.88
18780,6.67
22162,6.20
22571,12.77
22552,8.32
19560,11.24
19790,9.16
23715,20.74
23346,7.19
24074,18.06
24244,7.89
26307,8.43
25012,11.44
27465,10.12
28571,13.81
