label,Estimation
142,20.55
691,24.49
1438,26.71
725,18.27
336,22.36
1858,20.42
3319,24.29
5400,19.55
4973,nan
3668,17.14
4778,18.37
3683,24.25
5062,20.50
7418,15.17
2980,15.68
7006,14.86
6359,15.80
6118,20.20
7274,24.38
9219,19.37
6836,13.98
6877,24.82
6985,13.85
6094,12.69
5603,17.03
8268,24.79
8766,22.02
8996,16.79
7563,11.70
9052,19.00
8927,11.04
8713,14.53
9961,18.92
10023,16.07
11142,15.20
8940,9.13
9315,13.92
9287,11.75
9733,22.03
11215,17.57
11651,23.85
12264,18.41
11359,14.00
12657,12.61
8972,21.71
11578,14.19
11056,19.62
13435,16.43
11970,19.20
12463,17.30
15598,18.10
13984,14.74
14600,21.62
14398,13.78
14510,15.46
13956,14.34
13470,15.57
16123,20.34
14364,12.17
15258,17.26
18653,22.93
17449,21.38
16930,13.71
18446,16.34
18042,9.72
16346,13.93
18179,16.78
16140,11.66
19191,21.19
20268,21.29
19586,16.12
19694,20.08
20669,14.00
20534,15.62
18269,17.97
18780,15.94
22162,15.49
22571,20.47
22552,17.82
19560,18.24
19790,20.30
23715,20.52
23346,17.27
24074,19.14
24244,18.07
26307,18.00
25012,18.11
27465,20.20
28571,14.58
