label,Estimation
142,8.55
691,16.89
1438,18.44
725,7.35
336,11.68
1858,8.47
3319,14.28
5400,15.19
4973,14.81
3668,9.01
4778,8.55
3683,14.17
5062,8.34
7418,10.35
2980,6.18
7006,8.84
6359,7.78
6118,13.29
7274,18.21
9219,9.51
6836,9.26
6877,21.89
6985,6.80
6094,8.09
5603,10.82
8268,13.36
8766,15.13
8996,7.30
7563,7.16
9052,10.52
8927,7.58
8713,9.05
9961,7.69
10023,13.22
11142,6.91
8940,5.55
9315,8.13
9287,7.95
9733,9.32
11215,12.02
11651,22.25
12264,12.15
11359,6.91
12657,8.20
8972,8.98
11578,6.72
11056,7.59
13435,6.00
11970,8.11
12463,7.88
15598,5.09
13984,5.46
14600,8.71
14398,9.54
14510,10.36
13956,7.10
13470,7.48
16123,11.45
14364,6.13
15258,5.38
18653,8.92
17449,10.24
16930,5.91
18446,7.51
18042,4.10
16346,5.06
18179,6.83
16140,6.71
19191,11.95
20268,7.45
19586,6.06
19694,8.17
20669,5.67
20534,7.95
18269,8.78
18780,5.06
22162,5.68
22571,13.35
22552,7.05
19560,10.00
19790,10.80
23715,19.37
23346,9.24
24074,12.17
24244,10.14
26307,6.91
25012,9.55
27465,9.80
28571,10.66
