label,Estimation
142,26.06
691,27.38
1438,27.09
725,24.34
336,26.43
1858,23.37
3319,26.79
5400,25.03
4973,27.03
3668,26.47
4778,26.30
3683,27.41
5062,26.61
7418,25.35
2980,24.54
7006,24.87
6359,22.23
6118,25.92
7274,27.62
9219,27.03
6836,25.82
6877,27.31
6985,25.30
6094,25.52
5603,25.04
8268,27.73
8766,26.25
8996,24.41
7563,24.12
9052,25.06
8927,23.70
8713,25.56
9961,25.78
10023,25.41
11142,23.73
8940,23.78
9315,24.71
9287,24.89
9733,27.53
11215,26.60
11651,27.88
12264,24.53
11359,25.62
12657,25.38
8972,27.77
11578,26.62
11056,27.74
13435,24.88
11970,27.68
12463,24.45
15598,24.62
13984,22.94
14600,27.79
14398,23.25
14510,24.15
13956,23.24
13470,25.12
16123,nan
14364,21.02
15258,23.69
18653,25.66
17449,27.15
16930,23.84
18446,25.23
18042,16.59
16346,22.17
18179,nan
16140,21.73
19191,26.22
20268,27.70
19586,24.71
19694,25.71
20669,23.83
20534,23.97
18269,23.77
18780,24.33
22162,25.15
22571,24.32
22552,26.42
19560,25.04
19790,26.34
23715,26.05
23346,21.29
24074,25.11
24244,27.42
26307,27.13
25012,23.77
27465,25.36
28571,22.04
