label,Estimation
142,18.51
691,25.42
1438,26.32
725,16.53
336,22.77
1858,17.51
3319,22.79
5400,21.10
4973,21.17
3668,21.47
4778,20.02
3683,25.08
5062,16.16
7418,20.88
2980,18.69
7006,17.91
6359,17.65
6118,23.05
7274,25.45
9219,21.27
6836,17.18
6877,25.54
6985,14.85
6094,15.83
5603,21.22
8268,23.69
8766,24.13
8996,20.23
7563,10.70
9052,16.38
8927,12.37
8713,18.05
9961,18.62
10023,20.90
11142,13.25
8940,15.50
9315,18.00
9287,14.40
9733,23.21
11215,21.39
11651,27.47
12264,17.28
11359,18.90
12657,17.16
8972,22.55
11578,18.85
11056,19.39
13435,13.07
11970,17.25
12463,11.66
15598,22.09
13984,10.55
14600,19.53
14398,15.22
14510,19.74
13956,12.73
13470,13.22
16123,20.89
14364,10.58
15258,13.76
18653,20.74
17449,19.84
16930,16.47
18446,22.12
18042,8.05
16346,12.88
18179,15.72
16140,12.83
19191,21.88
20268,13.85
19586,15.78
19694,18.08
20669,15.70
20534,10.95
18269,20.46
18780,13.08
22162,17.44
22571,22.29
22552,19.44
19560,19.93
19790,17.55
23715,24.45
23346,11.20
24074,20.67
24244,18.38
26307,15.71
25012,19.33
27465,19.79
28571,19.39
