label,Estimation
142,26.80
691,27.76
1438,27.61
725,26.77
336,27.25
1858,27.10
3319,26.91
5400,24.80
4973,27.45
3668,27.31
4778,26.82
3683,27.77
5062,27.17
7418,25.83
2980,25.42
7006,25.68
6359,25.33
6118,27.27
7274,27.56
9219,25.28
6836,26.86
6877,27.54
6985,24.16
6094,26.39
5603,26.79
8268,27.51
8766,26.93
8996,25.10
7563,24.40
9052,26.01
8927,25.38
8713,26.26
9961,26.99
10023,27.57
11142,25.92
8940,25.77
9315,25.64
9287,26.71
9733,27.83
11215,27.01
11651,28.62
12264,26.25
11359,26.40
12657,26.28
8972,27.76
11578,26.46
11056,27.89
13435,26.78
11970,26.89
12463,26.33
15598,24.51
13984,27.09
14600,25.89
14398,26.44
14510,24.79
13956,24.93
13470,24.46
16123,27.20
14364,24.80
15258,25.09
18653,28.01
17449,27.78
16930,19.18
18446,26.32
18042,16.48
16346,22.92
18179,26.06
16140,24.25
19191,27.70
20268,23.39
19586,22.73
19694,25.10
20669,26.59
20534,24.51
18269,26.29
18780,23.07
22162,27.38
22571,27.14
22552,27.71
19560,27.16
19790,27.10
23715,27.61
23346,27.69
24074,27.06
24244,27.23
26307,24.42
25012,27.74
27465,23.59
28571,25.94
