label,Estimation
142,24.64
691,27.35
1438,27.53
725,24.58
336,26.62
1858,27.24
3319,27.35
5400,25.52
4973,27.61
3668,27.24
4778,26.58
3683,27.59
5062,24.63
7418,25.91
2980,25.46
7006,22.55
6359,24.09
6118,26.90
7274,27.46
9219,22.69
6836,24.43
6877,27.43
6985,20.96
6094,26.23
5603,26.07
8268,26.98
8766,26.94
8996,24.16
7563,21.93
9052,23.80
8927,24.64
8713,23.58
9961,25.34
10023,25.83
11142,24.17
8940,23.45
9315,24.38
9287,22.32
9733,25.35
11215,26.46
11651,28.08
12264,25.46
11359,22.79
12657,23.01
8972,26.84
11578,22.98
11056,24.65
13435,21.93
11970,22.07
12463,23.40
15598,20.10
13984,22.15
14600,23.91
14398,24.60
14510,24.38
13956,22.75
13470,22.81
16123,23.18
14364,22.55
15258,21.80
18653,24.11
17449,23.07
16930,20.71
18446,22.87
18042,23.81
16346,19.72
18179,22.21
16140,21.01
19191,26.47
20268,21.10
19586,21.50
19694,20.42
20669,20.77
20534,19.07
18269,25.63
18780,20.76
22162,21.59
22571,25.02
22552,23.27
19560,25.71
19790,20.60
23715,26.90
23346,21.20
24074,26.53
24244,22.77
26307,21.60
25012,23.11
27465,21.15
28571,19.84
