label,Estimation
142,12.77
691,19.27
1438,24.57
725,10.44
336,15.54
1858,12.30
3319,21.75
5400,17.13
4973,18.43
3668,16.86
4778,13.39
3683,22.09
5062,10.38
7418,14.37
2980,6.64
7006,12.92
6359,12.55
6118,18.29
7274,21.79
9219,11.07
6836,15.29
6877,23.18
6985,10.42
6094,13.59
5603,16.58
8268,22.57
8766,23.18
8996,11.61
7563,10.84
9052,16.61
8927,10.73
8713,13.46
9961,14.28
10023,17.85
11142,11.93
8940,9.95
9315,11.74
9287,11.96
9733,17.99
11215,15.59
11651,25.35
12264,17.69
11359,8.66
12657,9.41
8972,20.46
11578,9.81
11056,15.76
13435,9.01
11970,16.34
12463,9.07
15598,12.38
13984,9.36
14600,13.93
14398,10.68
14510,14.57
13956,10.72
13470,12.10
16123,16.85
14364,8.62
15258,9.71
18653,20.13
17449,16.76
16930,9.24
18446,12.72
18042,10.10
16346,10.50
18179,12.77
16140,13.51
19191,19.78
20268,11.29
19586,12.28
19694,14.12
20669,11.69
20534,7.97
18269,19.96
18780,10.33
22162,9.68
22571,19.59
22552,12.72
19560,16.69
19790,13.31
23715,26.06
23346,7.82
24074,17.84
24244,14.68
26307,14.75
25012,14.13
27465,13.91
28571,17.78
