label,Estimation
142,25.97
691,27.75
1438,nan
725,26.15
336,27.64
1858,27.09
3319,27.85
5400,26.74
4973,nan
3668,27.76
4778,27.64
3683,27.76
5062,27.90
7418,nan
2980,27.10
7006,25.91
6359,24.49
6118,27.62
7274,27.79
9219,nan
6836,nan
6877,27.56
6985,nan
6094,nan
5603,26.99
8268,27.84
8766,27.21
8996,26.62
7563,nan
9052,26.42
8927,25.06
8713,nan
9961,26.94
10023,25.42
11142,24.99
8940,24.84
9315,25.37
9287,nan
9733,27.88
11215,27.76
11651,28.58
12264,nan
11359,nan
12657,24.80
8972,27.41
11578,27.61
11056,27.71
13435,24.29
11970,27.79
12463,23.30
15598,27.09
13984,nan
14600,27.65
14398,24.91
14510,nan
13956,nan
13470,26.44
16123,27.40
14364,21.42
15258,25.21
18653,27.65
17449,nan
16930,26.29
18446,27.74
18042,19.72
16346,24.58
18179,24.77
16140,22.69
19191,27.82
20268,nan
19586,27.07
19694,26.43
20669,nan
20534,27.10
18269,27.54
18780,nan
22162,27.56
22571,27.30
22552,27.27
19560,26.75
19790,27.08
23715,27.29
23346,23.78
24074,nan
24244,27.02
26307,27.64
25012,26.88
27465,27.27
28571,25.50
