label,Estimation
142,11.39
691,15.91
1438,21.64
725,9.24
336,14.07
1858,10.76
3319,18.99
5400,15.00
4973,17.01
3668,13.33
4778,13.66
3683,18.95
5062,14.06
7418,10.53
2980,10.53
7006,8.41
6359,9.79
6118,15.66
7274,17.80
9219,9.05
6836,10.38
6877,21.69
6985,7.03
6094,8.31
5603,11.81
8268,18.96
8766,16.67
8996,8.18
7563,5.52
9052,10.27
8927,6.54
8713,8.09
9961,9.49
10023,11.31
11142,11.52
8940,5.53
9315,8.39
9287,5.87
9733,14.88
11215,12.66
11651,21.32
12264,14.01
11359,6.14
12657,7.70
8972,13.65
11578,6.56
11056,9.16
13435,4.67
11970,9.20
12463,9.59
15598,6.81
13984,8.99
14600,8.97
14398,8.81
14510,6.62
13956,7.48
13470,6.53
16123,14.50
14364,6.01
15258,7.35
18653,15.72
17449,18.76
16930,6.88
18446,13.05
18042,4.62
16346,5.68
18179,8.14
16140,7.02
19191,12.60
20268,8.02
19586,8.25
19694,14.69
20669,7.54
20534,10.78
18269,9.63
18780,7.59
22162,6.06
22571,13.86
22552,7.99
19560,11.74
19790,10.75
23715,20.22
23346,8.74
24074,14.06
24244,7.79
26307,13.59
25012,12.57
27465,9.28
28571,7.41
