label,Estimation
142,6.77
691,12.77
1438,18.14
725,5.90
336,8.84
1858,8.29
3319,14.98
5400,11.40
4973,10.63
3668,7.32
4778,9.12
3683,15.06
5062,10.71
7418,9.67
2980,5.31
7006,5.81
6359,5.29
6118,10.71
7274,18.30
9219,8.90
6836,4.95
6877,18.82
6985,4.85
6094,5.48
5603,8.81
8268,13.26
8766,11.92
8996,5.83
7563,4.66
9052,7.91
8927,5.09
8713,6.22
9961,6.20
10023,6.65
11142,6.89
8940,3.72
9315,6.60
9287,4.89
9733,9.94
11215,9.24
11651,20.45
12264,8.90
11359,4.35
12657,4.31
8972,11.00
11578,5.30
11056,8.08
13435,4.19
11970,9.60
12463,5.71
15598,5.94
13984,3.59
14600,8.45
14398,5.43
14510,5.94
13956,5.27
13470,6.06
16123,10.78
14364,4.53
15258,4.54
18653,7.78
17449,9.01
16930,5.58
18446,8.32
18042,4.01
16346,4.36
18179,7.03
16140,4.74
19191,9.53
20268,5.80
19586,9.14
19694,7.51
20669,7.02
20534,8.37
18269,8.26
18780,3.54
22162,5.82
22571,11.74
22552,6.90
19560,9.40
19790,7.60
23715,21.86
23346,4.19
24074,7.36
24244,5.14
26307,5.06
25012,6.37
27465,6.18
28571,5.93
