label,Estimation
142,25.10
691,26.93
1438,27.30
725,24.42
336,26.12
1858,25.91
3319,26.90
5400,26.84
4973,27.49
3668,26.54
4778,26.50
3683,27.33
5062,26.14
7418,26.94
2980,24.27
7006,26.85
6359,25.92
6118,27.68
7274,27.55
9219,25.38
6836,27.89
6877,28.01
6985,26.45
6094,27.81
5603,26.87
8268,27.15
8766,26.76
8996,23.69
7563,27.61
9052,27.12
8927,26.77
8713,25.83
9961,26.07
10023,25.59
11142,25.20
8940,23.89
9315,24.77
9287,25.75
9733,28.05
11215,25.56
11651,28.13
12264,26.38
11359,23.45
12657,26.82
8972,27.64
11578,22.03
11056,26.93
13435,23.44
11970,26.80
12463,27.61
15598,24.00
13984,27.62
14600,24.38
14398,24.63
14510,24.96
13956,25.03
13470,24.43
16123,26.43
14364,24.67
15258,26.18
18653,27.36
17449,26.83
16930,24.83
18446,24.41
18042,22.84
16346,25.07
18179,24.81
16140,24.32
19191,26.80
20268,23.39
19586,25.96
19694,26.98
20669,23.15
20534,27.89
18269,26.22
18780,25.18
22162,21.87
22571,27.33
22552,21.96
19560,24.44
19790,27.73
23715,27.27
23346,27.52
24074,23.63
24244,24.48
26307,26.21
25012,24.42
27465,23.21
28571,24.25
