label,Estimation
142,20.54
691,26.10
1438,26.41
725,16.66
336,23.09
1858,17.80
3319,24.11
5400,22.74
4973,23.46
3668,22.49
4778,19.50
3683,25.30
5062,14.43
7418,21.55
2980,15.72
7006,14.93
6359,21.42
6118,21.21
7274,26.96
9219,18.67
6836,18.61
6877,26.25
6985,12.10
6094,17.11
5603,22.89
8268,23.17
8766,24.81
8996,24.74
7563,9.98
9052,17.30
8927,18.68
8713,14.51
9961,16.26
10023,16.31
11142,14.50
8940,15.73
9315,15.45
9287,10.40
9733,21.62
11215,21.88
11651,27.65
12264,17.07
11359,11.22
12657,11.65
8972,22.80
11578,13.42
11056,18.09
13435,6.79
11970,18.29
12463,12.85
15598,10.02
13984,9.16
14600,16.99
14398,18.61
14510,10.24
13956,11.56
13470,12.38
16123,18.71
14364,9.78
15258,13.70
18653,21.24
17449,19.29
16930,13.92
18446,19.58
18042,8.28
16346,9.82
18179,12.82
16140,11.34
19191,21.39
20268,17.20
19586,18.76
19694,18.12
20669,10.94
20534,14.56
18269,19.34
18780,9.95
22162,9.81
22571,21.53
22552,13.10
19560,17.27
19790,18.05
23715,25.13
23346,14.25
24074,21.41
24244,14.10
26307,15.42
25012,17.70
27465,16.19
28571,12.12
