label,Estimation
142,7.71
691,12.27
1438,20.01
725,8.85
336,10.36
1858,8.25
3319,18.94
5400,11.24
4973,13.43
3668,9.47
4778,8.04
3683,14.82
5062,7.79
7418,12.17
2980,6.75
7006,8.30
6359,8.16
6118,14.59
7274,15.25
9219,8.27
6836,9.07
6877,19.87
6985,6.65
6094,8.76
5603,9.17
8268,14.83
8766,13.35
8996,6.86
7563,6.52
9052,8.94
8927,5.84
8713,7.04
9961,8.38
10023,12.46
11142,8.06
8940,4.26
9315,7.45
9287,6.46
9733,9.23
11215,11.50
11651,20.24
12264,10.41
11359,4.79
12657,6.18
8972,12.23
11578,6.66
11056,7.72
13435,3.72
11970,9.53
12463,7.71
15598,5.00
13984,4.67
14600,7.42
14398,6.74
14510,11.26
13956,8.28
13470,6.73
16123,9.06
14364,5.19
15258,5.21
18653,7.97
17449,10.68
16930,6.22
18446,6.67
18042,3.66
16346,4.67
18179,8.43
16140,6.23
19191,11.43
20268,7.47
19586,5.79
19694,8.53
20669,4.57
20534,6.69
18269,7.85
18780,5.82
22162,4.71
22571,12.25
22552,6.57
19560,8.88
19790,8.68
23715,19.70
23346,6.69
24074,13.40
24244,6.71
26307,7.96
25012,10.30
27465,9.21
28571,13.39
