label,Estimation
142,8.17
691,17.17
1438,21.51
725,8.13
336,12.60
1858,7.71
3319,17.44
5400,12.76
4973,13.14
3668,11.33
4778,9.63
3683,18.04
5062,10.26
7418,10.73
2980,6.70
7006,10.04
6359,8.67
6118,16.34
7274,20.50
9219,9.44
6836,11.07
6877,23.63
6985,7.46
6094,11.04
5603,9.83
8268,17.47
8766,19.28
8996,8.38
7563,6.92
9052,10.23
8927,6.93
8713,8.57
9961,11.09
10023,16.96
11142,12.55
8940,5.03
9315,7.25
9287,7.19
9733,14.51
11215,13.76
11651,21.51
12264,12.93
11359,5.72
12657,7.23
8972,15.20
11578,6.12
11056,11.78
13435,5.03
11970,11.29
12463,10.79
15598,6.32
13984,6.49
14600,10.04
14398,10.77
14510,13.92
13956,11.44
13470,8.02
16123,14.55
14364,5.97
15258,6.32
18653,11.26
17449,16.15
16930,5.75
18446,9.77
18042,5.31
16346,5.26
18179,10.26
16140,7.58
19191,14.32
20268,8.86
19586,7.14
19694,14.03
20669,7.08
20534,7.55
18269,8.56
18780,7.21
22162,6.74
22571,14.65
22552,8.84
19560,11.77
19790,10.45
23715,23.54
23346,8.06
24074,17.98
24244,9.99
26307,8.40
25012,13.89
27465,10.17
28571,12.73
