label,Estimation
142,12.47
691,18.75
1438,21.69
725,8.61
336,15.72
1858,9.48
3319,19.59
5400,13.94
4973,15.81
3668,12.87
4778,9.74
3683,20.11
5062,12.57
7418,10.69
2980,7.99
7006,7.41
6359,11.33
6118,14.32
7274,21.57
9219,9.56
6836,7.95
6877,22.90
6985,7.03
6094,8.08
5603,13.88
8268,19.59
8766,19.76
8996,8.00
7563,6.44
9052,7.56
8927,7.47
8713,8.29
9961,9.99
10023,12.23
11142,7.95
8940,6.94
9315,8.72
9287,7.41
9733,13.02
11215,14.59
11651,22.48
12264,12.64
11359,7.52
12657,8.05
8972,15.09
11578,10.15
11056,11.06
13435,8.42
11970,10.38
12463,8.21
15598,9.96
13984,10.36
14600,8.98
14398,9.08
14510,7.14
13956,6.55
13470,7.42
16123,11.56
14364,9.66
15258,8.63
18653,18.73
17449,12.56
16930,10.92
18446,10.84
18042,9.85
16346,9.99
18179,8.96
16140,9.11
19191,14.91
20268,10.40
19586,10.93
19694,11.38
20669,9.84
20534,9.73
18269,14.06
18780,10.10
22162,8.97
22571,16.80
22552,10.76
19560,14.37
19790,11.21
23715,21.39
23346,8.19
24074,12.71
24244,9.04
26307,13.58
25012,9.14
27465,10.75
28571,14.69
