label,VV_mean.30,Inc_mean.30,NDVI_median.30
142,0.0959,32.5799999999999,69.1417
691,0.1209,32.5799999999999,72.4086
1438,0.149,32.5799999999999,65.4381
725,0.0872,32.5799999999999,59.1255
336,0.106,32.5799999999999,67.9552999999999
1858,0.0971,32.5799999999999,58.6315
3319,0.1217,32.5799999999999,64.3864999999999
5400,0.0977,32.5799999999999,44.020699999999906
4973,0.1128,32.5799999999999,
3668,0.0898,32.5799999999999,35.6447
4778,0.1049,32.5799999999999,24.3443
3683,0.1279,32.5799999999999,52.8397
5062,0.1025,32.5799999999999,45.6488999999999
7418,0.0866,32.5799999999999,26.4923
2980,0.0802,32.5799999999999,44.203299999999906
7006,0.0932,32.5799999999999,16.1748
6359,0.0869,32.5799999999999,30.2895
6118,0.1047,32.5799999999999,38.699199999999905
7274,0.1442,32.5799999999999,37.4435
9219,0.0985,32.5799999999999,40.5016
6836,0.0853,32.5799999999999,20.485299999999896
6877,0.1353,32.5799999999999,50.4919999999999
6985,0.0819,32.5799999999999,24.5115
6094,0.0799,32.5799999999999,19.5011
5603,0.093,32.5799999999999,29.9664
8268,0.1323,32.5799999999999,54.05839999999989
8766,0.1213,32.5799999999999,36.09029999999991
8996,0.0957,32.5799999999999,24.8565
7563,0.0728,32.5799999999999,23.864
9052,0.0964,32.5799999999999,40.652099999999905
8927,0.0715,32.5799999999999,20.901299999999896
8713,0.0858,32.5799999999999,23.3641
9961,0.0993,32.5799999999999,35.2257
10023,0.0901,32.5799999999999,27.4882999999999
11142,0.0817,32.5799999999999,34.9818
8940,0.0633,32.5799999999999,19.555099999999896
9315,0.0838,32.5799999999999,22.1832999999999
9287,0.0752,32.5799999999999,20.0163
9733,0.1317,32.5799999999999,27.1542999999999
11215,0.0996,32.5799999999999,25.1127
11651,0.1447,32.5799999999999,32.5835
12264,0.0941,32.5799999999999,39.1604
11359,0.0844,32.5799999999999,21.8209
12657,0.0762,32.5799999999999,24.9203
8972,0.1265,32.5799999999999,28.9198999999999
11578,0.0863,32.5799999999999,20.469799999999896
11056,0.1151,32.5799999999999,22.4559
13435,0.096,32.5799999999999,22.1130999999999
11970,0.1109,32.5799999999999,23.6907
12463,0.0948,32.5799999999999,29.3924999999999
15598,0.094,32.5799999999999,36.52629999999991
13984,0.0881,32.5799999999999,21.5793
14600,0.1283,32.5799999999999,26.5552999999999
14398,0.0826,32.5799999999999,22.9609999999999
14510,0.086,32.5799999999999,29.3632999999999
13956,0.0805,32.5799999999999,30.3886
13470,0.0892,32.5799999999999,25.4838999999999
16123,0.1073,32.5799999999999,36.531399999999906
14364,0.0743,32.5799999999999,24.9180999999999
15258,0.0972,32.5799999999999,26.0348
18653,0.1183,32.5799999999999,49.38929999999989
17449,0.1179,32.5799999999999,33.8395999999999
16930,0.0801,32.5799999999999,26.3856
18446,0.0919,32.5799999999999,26.8328999999999
18042,0.065,32.5799999999999,21.7061999999999
16346,0.0806,32.5799999999999,27.1855
18179,0.0866,32.5799999999999,38.726599999999905
16140,0.0739,32.5799999999999,21.5548
19191,0.1176,32.5799999999999,32.6098
20268,0.1136,32.5799999999999,37.551099999999906
19586,0.089,32.5799999999999,29.3869
19694,0.1018,32.5799999999999,42.0831
20669,0.0814,32.5799999999999,26.3492999999999
20534,0.0849,32.5799999999999,32.2342
18269,0.0994,32.5799999999999,28.0879
18780,0.0901,32.5799999999999,26.6674
22162,0.0852,32.5799999999999,30.7932999999999
22571,0.1099,32.5799999999999,34.5859999999999
22552,0.0933,32.5799999999999,35.3639
19560,0.0935,32.5799999999999,38.7023
19790,0.0997,32.5799999999999,49.1961999999999
23715,0.111,32.5799999999999,33.7421999999999
23346,0.0896,32.5799999999999,37.1291
24074,0.1033,32.5799999999999,31.7009
24244,0.1031,32.5799999999999,24.3131999999999
26307,0.0989,32.5799999999999,28.9195999999999
25012,0.0957,32.5799999999999,33.9581999999999
27465,0.1094,32.5799999999999,32.8933
28571,0.0875,32.5799999999999,21.3778
