label,VV_mean.14,Inc_mean.14,NDVI_median.14
142,0.0563,32.5779,23.3142999999999
691,0.0923,32.5779,31.9298
1438,0.1117,32.5779,42.0458
725,0.0567,32.5779,21.9003
336,0.0743,32.5779,28.4124
1858,0.0534,32.5779,24.2791
3319,0.0909,32.5779,36.262
5400,0.075,32.5779,28.379
4973,0.0778,32.5779,26.138
3668,0.071,32.5779,24.286
4778,0.0643,32.5779,22.2464
3683,0.1002,32.5779,27.6049
5062,0.0679,32.5779,21.0501
7418,0.0686,32.5779,23.7428999999999
2980,0.0492,32.5779,19.9536
7006,0.0664,32.5779,21.9632
6359,0.059,32.5779,23.1831999999999
6118,0.0911,32.5779,27.9152999999999
7274,0.1103,32.5779,34.3751
9219,0.064,32.5779,21.0261
6836,0.0703,32.5779,23.4439999999999
6877,0.1298,32.5779,42.969299999999905
6985,0.0536,32.5779,20.4288999999999
6094,0.0718,32.5779,20.3947
5603,0.0635,32.5779,25.962
8268,0.0927,32.5779,33.5962999999999
8766,0.1051,32.5779,30.6804999999999
8996,0.0579,32.5779,22.3135
7563,0.0506,32.5779,19.822099999999896
9052,0.0668,32.5779,22.8843999999999
8927,0.0501,32.5779,21.2633
8713,0.0583,32.5779,23.5508999999999
9961,0.0711,32.5779,22.0538999999999
10023,0.0923,32.5779,30.4945999999999
11142,0.0774,32.5779,22.375
8940,0.04,32.5779,19.126
9315,0.0516,32.5779,22.2894
9287,0.0524,32.5779,19.3866
9733,0.0884,32.5779,19.779499999999896
11215,0.0814,32.5779,24.7206
11651,0.128,32.5779,25.8251999999999
12264,0.0744,32.5779,31.1373
11359,0.0434,32.5779,21.6092
12657,0.0513,32.5779,22.748
8972,0.0883,32.5779,24.2803
11578,0.0457,32.5779,20.5013
11056,0.0753,32.5779,20.134499999999896
13435,0.0401,32.5779,17.4793999999999
11970,0.0728,32.5779,20.5616999999999
12463,0.0685,32.5779,24.5192
15598,0.0467,32.5779,21.1065
13984,0.048,32.5779,19.696899999999896
14600,0.0667,32.5779,21.3946
14398,0.0681,32.5779,25.148
14510,0.0821,32.5779,24.7023
13956,0.0713,32.5779,24.5959
13470,0.0576,32.5779,19.074999999999896
16123,0.0824,32.5779,28.6329999999999
14364,0.0449,32.5779,20.2064999999999
15258,0.0473,32.5779,18.619299999999896
18653,0.0711,32.5779,23.5073
17449,0.0944,32.5779,22.3612
16930,0.0436,32.5779,21.1265
18446,0.0646,32.5779,22.9618
18042,0.0414,32.5779,19.8222999999999
16346,0.0411,32.5779,20.0747
18179,0.0668,32.5779,23.1662
16140,0.0535,32.5779,22.1309
19191,0.0868,32.5779,20.6312
20268,0.0623,32.5779,18.8927
19586,0.0522,32.5779,19.1947
19694,0.0832,32.5779,23.8242
20669,0.0504,32.5779,23.0398
20534,0.0558,32.5779,17.2338999999999
18269,0.0597,32.5779,20.6343
18780,0.0527,32.5779,19.1035
22162,0.0494,32.5779,19.9925
22571,0.0844,32.5779,26.2071
22552,0.0594,32.5779,24.2529
19560,0.0711,32.5779,27.9353
19790,0.0684,32.5779,21.7265
23715,0.1313,32.5779,40.580199999999905
23346,0.0585,32.5779,17.9055
24074,0.0961,32.5779,32.4455
24244,0.0668,32.5779,20.703199999999896
26307,0.059,32.5779,20.3612
25012,0.082,32.5779,24.6576999999999
27465,0.067,32.5779,21.907
28571,0.0803,32.5779,19.1454999999999
