label,VV_mean.25,Inc_mean.25,NDVI_median.25
142,0.0511,32.5779,17.709
691,0.0668,32.5779,21.9781
1438,0.0931,32.5779,26.5683
725,0.049,32.5779,16.9567
336,0.0582,32.5779,20.1901
1858,0.0554,32.5779,18.0843999999999
3319,0.082,32.5779,23.556
5400,0.0625,32.5779,20.9461
4973,0.0636,32.5779,15.5615
3668,0.0578,32.5779,15.9537
4778,0.0579,32.5779,14.3214
3683,0.0777,32.5779,17.914899999999896
5062,0.0572,32.5779,15.3937
7418,0.0586,32.5779,14.215
2980,0.0461,32.5779,14.8442
7006,0.0441,32.5779,14.2162
6359,0.0585,32.5779,16.1296
6118,0.0695,32.5779,16.4213999999999
7274,0.0823,32.5779,18.4372
9219,0.0521,32.5779,14.6648
6836,0.0501,32.5779,13.9781999999999
6877,0.094,32.5779,20.3089
6985,0.0449,32.5779,13.9742999999999
6094,0.0488,32.5779,13.2791999999999
5603,0.062,32.5779,17.4372
8268,0.0864,32.5779,21.5709
8766,0.0737,32.5779,16.5795999999999
8996,0.0417,32.5779,15.2672
7563,0.0381,32.5779,13.4370999999999
9052,0.0523,32.5779,14.3773
8927,0.0388,32.5779,13.2646999999999
8713,0.0471,32.5779,14.8812
9961,0.0476,32.5779,16.0185
10023,0.0615,32.5779,17.791599999999896
11142,0.0565,32.5779,13.3737999999999
8940,0.0373,32.5779,12.8382
9315,0.0494,32.5779,13.531
9287,0.0409,32.5779,13.2043
9733,0.0601,32.5779,14.5904
11215,0.0701,32.5779,14.8271
11651,0.12,32.5779,17.968399999999896
12264,0.0766,32.5779,15.8923
11359,0.0382,32.5779,12.9773999999999
12657,0.0428,32.5779,13.9631
8972,0.0571,32.5779,15.7257
11578,0.0382,32.5779,12.9733
11056,0.0491,32.5779,14.3543
13435,0.0343,32.5779,12.2796
11970,0.0549,32.5779,14.1546
12463,0.0502,32.5779,13.8478999999999
15598,0.0374,32.5779,13.4727999999999
13984,0.0421,32.5779,13.9072
14600,0.0433,32.5779,15.1572
14398,0.0469,32.5779,14.3762
14510,0.0398,32.5779,13.1123999999999
13956,0.0448,32.5779,13.1256
13470,0.0442,32.5779,13.6851
16123,0.0696,32.5779,15.8711
14364,0.0383,32.5779,13.4221
15258,0.0433,32.5779,12.9143
18653,0.0584,32.5779,17.2517
17449,0.0625,32.5779,14.4651
16930,0.0551,32.5779,14.2095
18446,0.0607,32.5779,14.9353
18042,0.0313,32.5779,13.4722
16346,0.0366,32.5779,13.3895
18179,0.0467,32.5779,12.7469
16140,0.0483,32.5779,14.8917
19191,0.0747,32.5779,14.1755
20268,0.0528,32.5779,14.7088
19586,0.0499,32.5779,15.4946
19694,0.0639,32.5779,16.1048
20669,0.0417,32.5779,15.0033999999999
20534,0.0473,32.5779,14.8262
18269,0.0525,32.5779,14.1175
18780,0.0486,32.5779,13.7544
22162,0.0447,32.5779,14.369
22571,0.061,32.5779,16.0672999999999
22552,0.05,32.5779,14.8713
19560,0.0607,32.5779,15.8218999999999
19790,0.0563,32.5779,17.4099
23715,0.0998,32.5779,21.3801999999999
23346,0.0439,32.5779,15.0806
24074,0.0748,32.5779,17.3948
24244,0.0551,32.5779,13.3302
26307,0.0854,32.5779,13.9244
25012,0.0596,32.5779,15.8394999999999
27465,0.0465,32.5779,15.8537
28571,0.0466,32.5779,14.3275
